zip_code_of_location_of_base-station,Normalized Lyapunov Exponents,Normalized Average Mobility factor,latitude,longitude,Data_Rate_normalized
95838,-1.469,-1.4622,38.631913,-121.434879,-1.2642
95823,-0.31253,-1.4622,38.478902,-121.431028,-1.1992
95815,-1.469,-1.4622,38.618305,-121.443839,-1.1944
95815,-1.469,-1.4622,38.616835,-121.439146,-1.1913
95824,-1.469,-1.4622,38.51947,-121.435768,-1.1003
95841,-0.31253,-1.4622,38.662595,-121.327813,-1.0423
95842,-0.31253,0.0066998,38.681659,-121.351705,-1.0353
95820,-0.31253,-1.4622,38.535092,-121.481367,-1.0345
95670,-1.469,0.0066998,38.621188,-121.270555,-1.0063
95673,-0.31253,0.0066998,38.700909,-121.442979,-0.97717
95838,-0.31253,0.0066998,38.637663,-121.45152,-0.96726
95823,-0.31253,0.0066998,38.470746,-121.458918,-0.92432
95815,-2.6255,-1.4622,38.618698,-121.435833,-0.91997
95822,-0.31253,-1.4622,38.482215,-121.492603,-0.91527
95842,-1.469,0.0066998,38.672914,-121.35934,-0.90625
95842,-1.469,0.0066998,38.700051,-121.351278,-0.89216
95673,-1.469,-1.4622,38.689591,-121.452239,-0.87364
95621,-1.469,-1.4622,38.679776,-121.314089,-0.85205
95833,-1.469,-1.4622,38.612099,-121.469095,-0.82495
95673,-0.31253,0.0066998,38.689999,-121.46322,-0.81317
95621,-0.31253,0.0066998,38.707851,-121.320707,-0.81049
95823,0.84397,0.0066998,38.468173,-121.444071,-0.80556
95660,0.84397,0.0066998,38.702792,-121.38221,-0.80326
95834,-0.31253,0.0066998,38.628631,-121.488097,-0.79531
95660,-0.31253,0.0066998,38.701499,-121.37622,-0.78881
95843,-0.31253,0.0066998,38.70974,-121.37377,-0.77696
95820,-0.31253,-1.4622,38.537526,-121.478315,-0.77232
95832,-0.31253,0.0066998,38.476472,-121.501711,-0.7599
95827,0.84397,0.0066998,38.558423,-121.327948,-0.744
95828,-0.31253,0.0066998,38.472122,-121.404199,-0.73822
95758,-1.469,0.0066998,38.423251,-121.444489,-0.73099
95660,-0.31253,0.0066998,38.691161,-121.37192,-0.71975
95827,-0.31253,0.0066998,38.566663,-121.332644,-0.7057
95626,-0.31253,0.0066998,38.713182,-121.411227,-0.68944
95758,-1.469,0.0066998,38.423251,-121.444489,-0.67317
95823,-0.31253,0.0066998,38.48742,-121.462459,-0.63523
95660,-0.31253,0.0066998,38.658246,-121.375469,-0.62758
95823,0.84397,0.0066998,38.479553,-121.463317,-0.61716
95828,0.84397,0.0066998,38.49857,-121.420925,-0.61107
95825,-2.6255,-1.4622,38.58514,-121.403736,-0.60813
95835,-1.469,0.0066998,38.658812,-121.542345,-0.59367
95822,-0.31253,0.0066998,38.493955,-121.48966,-0.57922
95624,-0.31253,0.0066998,38.41653,-121.379653,-0.55829
95843,-1.469,0.0066998,38.72027,-121.331555,-0.52682
95660,0.84397,0.0066998,38.699251,-121.371414,-0.52502
95833,0.84397,-1.4622,38.613765,-121.488694,-0.50695
95823,0.84397,0.0066998,38.450543,-121.432538,-0.49972
95823,0.84397,-1.4622,38.489405,-121.452811,-0.48991
95838,0.84397,0.0066998,38.636748,-121.422159,-0.48991
95823,-0.31253,0.0066998,38.499954,-121.454469,-0.47804
95624,-0.31253,0.0066998,38.415518,-121.370527,-0.46358
95828,0.84397,0.0066998,38.473814,-121.4,-0.4419
95823,-0.31253,0.0066998,38.477553,-121.419463,-0.43287
95828,0.84397,0.0066998,38.474853,-121.406326,-0.43241
95823,-0.31253,0.0066998,38.465184,-121.434925,-0.4023
95632,-0.31253,0.0066998,38.287789,-121.294715,-0.40027
95842,0.84397,0.0066998,38.665724,-121.358576,-0.39435
95826,-0.31253,0.0066998,38.547011,-121.366217,-0.38409
95608,-0.31253,-1.4622,38.662105,-121.313945,-0.37778
95823,0.84397,1.4756,38.4473,-121.435218,-0.37262
95843,-0.31253,0.0066998,38.714609,-121.347887,-0.37168
95632,-0.31253,0.0066998,38.260443,-121.297864,-0.37144
95662,0.84397,0.0066998,38.664186,-121.217511,-0.36819
95632,-0.31253,-1.4622,38.251808,-121.302493,-0.32814
95823,-0.31253,0.0066998,38.459041,-121.424644,-0.32627
95826,-0.31253,0.0066998,38.560767,-121.377471,-0.3041
95758,-0.31253,0.0066998,38.422811,-121.423285,-0.29013
95843,-0.31253,0.0066998,38.711279,-121.393449,-0.28422
95828,0.84397,2.9445,38.48009,-121.415102,-0.2829
95823,-0.31253,0.0066998,38.44004,-121.421012,-0.26122
95624,0.84397,0.0066998,38.44076,-121.385792,-0.25038
95630,-0.31253,0.0066998,38.687742,-121.17104,-0.24677
95608,-0.31253,-1.4622,38.664468,-121.32683,-0.24677
95834,0,0,38.631481,-121.50188,-0.2034
95834,-0.31253,0.0066998,38.653439,-121.535169,-0.18895
95823,0.84397,0.0066998,38.454349,-121.439239,-0.1538
95758,0.84397,0.0066998,38.427818,-121.424026,-0.094996
95835,-1.469,0.0066998,38.67307,-121.506373,-0.094996
95624,2.0005,1.4756,38.435436,-121.394536,-0.080123
95624,0.84397,0.0066998,38.400676,-121.38101,-0.045223
95823,-0.31253,0.0066998,38.491399,-121.443547,-0.019277
95670,-0.31253,0.0066998,38.593699,-121.31089,0.0039947
95621,0.84397,0.0066998,38.702855,-121.31308,0.0061846
95833,0.84397,0.0066998,38.618457,-121.509439,0.013412
95829,0.84397,1.4756,38.463355,-121.358936,0.018362
95655,-0.31253,0.0066998,38.547991,-121.280483,0.026421
95673,-0.31253,0.0066998,38.693818,-121.441153,0.043202
95757,-0.31253,0.0066998,38.400974,-121.448424,0.061386
95828,-0.31253,0.0066998,38.478198,-121.412911,0.07123
95833,0,0,38.626671,-121.52597,0.074843
95828,-0.31253,-1.4622,38.502519,-121.420769,0.078168
95624,2.0005,1.4756,38.443832,-121.382087,0.085091
95621,-0.31253,0.0066998,38.665395,-121.293288,0.11459
95758,0.84397,0.0066998,38.444909,-121.412345,0.11459
95608,-1.469,0.0066998,38.637028,-121.312963,0.11556
95757,-0.31253,0.0066998,38.38692,-121.447349,0.14495
95841,0.84397,0.0066998,38.653917,-121.34218,0.14495
95758,2.0005,1.4756,38.42568,-121.438062,0.17241
95835,-0.31253,0.0066998,38.656251,-121.547572,0.18687
95820,-0.31253,-1.4622,38.53151,-121.421089,0.18697
95742,0,0,38.553867,-121.219141,0.21216
95834,-0.31253,0.0066998,38.648879,-121.544023,0.223
95726,-0.31253,0.0066998,38.708315,-120.603872,0.223
95822,-0.31253,-1.4622,38.523947,-121.484946,0.27173
95829,0.84397,1.4756,38.472976,-121.318633,0.28624
95822,-0.31253,0.0066998,38.502194,-121.490795,0.29589
95726,-1.469,0.0066998,38.75485,-120.60476,0.33797
95832,0.84397,1.4756,38.474099,-121.490711,0.33854
95826,5.47,2.9445,38.559505,-121.364839,0.34875
95758,0.84397,0.0066998,38.410992,-121.479043,0.36755
95624,0.84397,0.0066998,38.4439,-121.37255,0.38501
95757,-0.31253,0.0066998,38.391538,-121.442596,0.41091
95818,-1.469,-1.4622,38.556098,-121.490787,0.41831
95827,0.84397,2.9445,38.5703,-121.315735,0.45427
95758,2.0005,1.4756,38.442031,-121.410873,0.45427
95757,-0.31253,0.0066998,38.40154,-121.447649,0.4615
95670,-1.469,0.0066998,38.62869,-121.261669,0.46873
95835,2.0005,1.4756,38.658182,-121.549521,0.50513
95624,0.84397,0.0066998,38.442352,-121.389675,0.55545
95827,2.0005,1.4756,38.555993,-121.340352,0.58824
95742,2.0005,2.9445,38.545128,-121.224922,0.6205
95742,0,0,38.528575,-121.2286,0.6205
95826,0.84397,1.4756,38.550848,-121.370224,0.68092
95662,-1.469,-1.4622,38.71147,-121.216214,0.72276
95757,-0.31253,1.4756,38.398609,-121.450148,0.73433
95757,0.84397,1.4756,38.403492,-121.430224,0.73433
95833,0,0,38.602416,-121.542965,0.76143
95630,-0.31253,0.0066998,38.68479,-121.149199,0.79576
95758,0.84397,0.0066998,38.41333,-121.404999,0.80992
95823,-0.31253,1.4756,38.448507,-121.421346,0.81584
95757,0.84397,0.0066998,38.380635,-121.425538,0.82033
95823,0.84397,1.4756,38.46534,-121.457519,0.84671
95762,-0.31253,0.0066998,38.691299,-121.081752,0.85177
95831,0,0,38.4772,-121.5215,0.98186
95683,0.84397,1.4756,38.4874,-121.075129,0.98547
95693,-0.31253,0.0066998,38.35062,-121.228349,0.99631
95757,2.0005,1.4756,38.4019,-121.420388,1.018
95835,2.0005,1.4756,38.677126,-121.500519,1.0635
95831,0.84397,0.0066998,38.509819,-121.519661,1.0682
95843,0.84397,0.0066998,38.709873,-121.339472,1.11
95814,-0.31253,1.4756,38.58355,-121.487289,1.1336
95757,0.84397,1.4756,38.408351,-121.423925,1.1587
95635,-0.31253,0.0066998,38.945357,-120.908822,1.1625
95624,0.84397,1.4756,38.450829,-121.349928,1.2
95831,-0.31253,1.4756,38.487885,-121.545947,1.3071
95757,2.0005,1.4756,38.385638,-121.422616,1.3794
95742,2.0005,1.4756,38.550617,-121.23526,1.4155
95624,0,0,38.420338,-121.363757,1.5239
95630,2.0005,1.4756,38.646273,-121.175322,1.6323
95757,0.84397,1.4756,38.38253,-121.428007,1.6395
95757,0.84397,1.4756,38.406421,-121.422081,1.8443
95757,2.0005,2.9445,38.38253,-121.428038,1.9937
95630,0.84397,0.0066998,38.655167,-121.090178,2.2033
95630,0,0,38.670947,-121.097727,2.5357
95762,0.84397,1.4756,38.672761,-121.050378,2.6441
95762,0.84397,1.4756,38.666807,-121.06483,2.6892
95864,-0.31253,1.4756,38.591618,-121.370626,3.0778
95762,3.157,4.4135,38.669931,-121.05958,4.3064
95621,-1.469,-1.4622,38.680923,-121.313945,-1.1935
95817,0.84397,0.0066998,38.554967,-121.468046,-1.1863
95624,-1.469,-1.4622,38.40573,-121.369832,-1.1791
95815,-1.469,-1.4622,38.624678,-121.439203,-1.1285
95824,-1.469,-1.4622,38.518044,-121.443555,-1.1256
95822,-0.31253,-1.4622,38.515125,-121.480416,-1.114
95815,0.84397,0.0066998,38.623571,-121.454884,-1.049
95815,-0.31253,-1.4622,38.622953,-121.450142,-1.0418
95824,-1.469,-1.4622,38.518373,-121.411779,-1.0418
95824,-0.31253,-1.4622,38.51055,-121.414768,-1.0273
95820,-1.469,-1.4622,38.53942,-121.446894,-1.0152
95683,0,0,38.492287,-121.100032,-0.98575
95815,-1.469,-1.4622,38.621998,-121.442238,-0.98394
95758,-2.6255,-1.4622,38.423251,-121.444489,-0.98394
95864,-0.31253,-1.4622,38.588672,-121.373916,-0.97672
95758,-2.6255,-1.4622,38.423251,-121.444489,-0.96949
95632,-0.31253,-1.4622,38.241514,-121.312199,-0.92095
95820,-0.31253,-1.4622,38.52712,-121.435348,-0.88999
95660,-0.31253,-1.4622,38.67895,-121.379406,-0.88999
95842,-1.469,0.0066998,38.682279,-121.352817,-0.86253
95670,-0.31253,-1.4622,38.587156,-121.295778,-0.82416
95824,-0.31253,-1.4622,38.518942,-121.430158,-0.80164
95838,-0.31253,0.0066998,38.636565,-121.460383,-0.79784
95660,-0.31253,-1.4622,38.650445,-121.374861,-0.78881
95822,-0.31253,0.0066998,38.514665,-121.480411,-0.78881
95626,-0.31253,0.0066998,38.717976,-121.407684,-0.78158
95660,-0.31253,-1.4622,38.66654,-121.378298,-0.7599
95838,-1.469,-1.4622,38.637678,-121.452476,-0.72376
95838,-0.31253,0.0066998,38.658478,-121.450409,-0.71654
95815,-0.31253,0.0066998,38.61779,-121.436765,-0.71292
95833,-0.31253,-1.4622,38.623817,-121.477827,-0.6804
95632,-0.31253,0.0066998,38.270617,-121.299205,-0.6804
95628,-1.469,0.0066998,38.662785,-121.276272,-0.66233
95834,-0.31253,0.0066998,38.631056,-121.48508,-0.65511
95758,0,0,38.423251,-121.444489,-0.64426
95820,-1.469,-1.4622,38.532727,-121.470783,-0.64426
95828,0.84397,0.0066998,38.488623,-121.410582,-0.64426
95828,-0.31253,0.0066998,38.488611,-121.412808,-0.64426
95660,0.84397,0.0066998,38.692915,-121.367497,-0.63704
95822,-0.31253,-1.4622,38.487444,-121.491366,-0.61897
95828,-0.31253,0.0066998,38.473288,-121.3963,-0.61536
95828,-0.31253,0.0066998,38.482876,-121.405912,-0.60813
95823,0.84397,0.0066998,38.484834,-121.449316,-0.60813
95758,-1.469,0.0066998,38.420138,-121.412179,-0.59367
95621,-0.31253,0.0066998,38.693724,-121.307169,-0.56477
95825,-1.469,-1.4622,38.609982,-121.419263,-0.56477
95624,-1.469,0.0066998,38.41875,-121.370019,-0.56477
95842,-1.469,-1.4622,38.67273,-121.359645,-0.55184
95621,-0.31253,0.0066998,38.720653,-121.302241,-0.52391
95820,-1.469,-1.4622,38.541965,-121.452132,-0.52264
95843,-0.31253,0.0066998,38.715346,-121.388163,-0.49972
95823,-0.31253,0.0066998,38.448288,-121.420719,-0.47804
95842,-0.31253,0.0066998,38.69951,-121.359989,-0.47081
95670,-0.31253,0.0066998,38.591477,-121.31534,-0.42745
95823,-0.31253,0.0066998,38.457654,-121.431381,-0.41841
95823,-0.31253,0.0066998,38.461283,-121.434322,-0.39854
95843,-1.469,0.0066998,38.710889,-121.358876,-0.39131
95758,-0.31253,0.0066998,38.417649,-121.420294,-0.38842
95758,0.84397,0.0066998,38.417182,-121.397231,-0.37686
95670,0.84397,0.0066998,38.592383,-121.318669,-0.35879
95758,-0.31253,0.0066998,38.435471,-121.441173,-0.35518
95608,0.84397,0.0066998,38.666564,-121.325717,-0.32627
95621,-0.31253,0.0066998,38.718693,-121.303619,-0.29013
95826,-0.31253,-1.4622,38.543697,-121.366683,-0.2829
95843,-0.31253,0.0066998,38.704407,-121.36113,-0.24677
95682,-0.31253,-1.4622,38.694052,-120.995589,-0.23954
95648,0.84397,0.0066998,38.879192,-121.309477,-0.2287
95828,-0.31253,0.0066998,38.461296,-121.390858,-0.21063
95838,0.84397,0.0066998,38.655887,-121.446119,-0.21063
95667,-0.31253,0.0066998,38.74458,-120.794254,-0.21063
95823,0.84397,1.4756,38.443253,-121.431992,-0.21063
95820,-1.469,-1.4622,38.536741,-121.42115,-0.19618
95682,-1.469,0.0066998,38.69437,-120.996602,-0.1745
95667,-1.469,-1.4622,38.739774,-120.860243,-0.16366
95621,0.84397,0.0066998,38.696489,-121.328555,-0.13836
95610,-0.31253,0.0066998,38.710388,-121.261096,-0.13836
95833,0,0,38.626582,-121.52151,-0.13475
95824,-0.31253,-1.4622,38.513066,-121.451909,-0.085016
95825,0,0,38.588816,-121.408549,-0.066088
95833,-0.31253,0.0066998,38.624762,-121.522775,-0.066088
95825,0.84397,0.0066998,38.606603,-121.394147,-0.066088
95624,-0.31253,0.0066998,38.419214,-121.348533,-0.066088
95826,0.84397,0.0066998,38.55821,-121.355022,-0.044406
95673,0.84397,0.0066998,38.702893,-121.454949,-0.032373
95722,-0.31253,-1.4622,39.008159,-121.03623,-0.029951
95628,-1.469,0.0066998,38.665644,-121.259969,-0.029951
95757,-0.31253,0.0066998,38.390557,-121.449805,-0.029951
95835,-0.31253,0.0066998,38.672495,-121.515251,-0.0010426
95835,-0.31253,0.0066998,38.661658,-121.540633,0.0061846
95822,-0.31253,-1.4622,38.534596,-121.493121,0.015219
95630,0,0,38.6457,-121.1197,0.042321
95624,0,0,38.43742,-121.372876,0.056775
95842,-0.31253,0.0066998,38.699489,-121.361828,0.078457
95828,0.84397,1.4756,38.459711,-121.384283,0.078457
95816,-1.469,-1.4622,38.562296,-121.467489,0.078457
95835,0,0,38.676658,-121.528128,0.11459
95662,-0.31253,0.0066998,38.669882,-121.213533,0.11459
95662,0.84397,0.0066998,38.692199,-121.250975,0.11459
95678,-0.31253,0.0066998,38.725283,-121.297953,0.11459
95843,-0.31253,0.0066998,38.710221,-121.341651,0.15073
95610,2.0005,2.9445,38.682358,-121.272876,0.15835
95829,-0.31253,0.0066998,38.45967,-121.360461,0.17045
95758,0.84397,0.0066998,38.409634,-121.410787,0.18687
95843,-0.31253,0.0066998,38.705849,-121.334701,0.19409
95648,0.84397,0.0066998,38.879084,-121.298586,0.19987
95822,0.84397,0.0066998,38.482704,-121.500433,0.21916
95843,0.84397,1.4756,38.717042,-121.35468,0.223
95835,0,0,38.676937,-121.529244,0.25914
95835,0.84397,1.4756,38.671807,-121.498274,0.25914
95835,-0.31253,0.0066998,38.665704,-121.529096,0.25914
95834,0,0,38.647961,-121.543162,0.25914
95624,0.84397,1.4756,38.435288,-121.375703,0.29527
95758,0.84397,0.0066998,38.411522,-121.481406,0.29527
95624,0.84397,1.4756,38.404934,-121.352405,0.33141
95628,-0.31253,0.0066998,38.660322,-121.230101,0.37487
95834,0.84397,0.0066998,38.633028,-121.526755,0.41814
95747,-0.31253,0.0066998,38.752399,-121.330328,0.41814
95628,-0.31253,0.0066998,38.664552,-121.255937,0.43254
95678,-0.31253,0.0066998,38.776327,-121.284514,0.43259
95838,-0.31253,0.0066998,38.65783,-121.456842,0.4526
95648,0.84397,2.9445,38.864864,-121.313988,0.45789
95670,0,0,38.625289,-121.260286,0.47595
95673,-0.31253,-1.4622,38.700553,-121.452223,0.47595
95632,0.84397,1.4756,38.272942,-121.289148,0.47595
95667,-0.31253,0.0066998,38.694559,-120.848157,0.47595
95835,0.84397,0.0066998,38.677454,-121.494791,0.47957
95670,-0.31253,0.0066998,38.628732,-121.261149,0.51209
95747,0,0,38.772771,-121.364877,0.52293
95835,0,0,38.668692,-121.54549,0.56629
95648,2.0005,1.4756,38.866409,-121.308485,0.58436
95823,0.84397,0.0066998,38.447353,-121.434969,0.61897
95648,-1.469,0.0066998,38.849924,-121.275729,0.69277
95630,-0.31253,0.0066998,38.667834,-121.168578,0.69277
95757,-0.31253,0.0066998,38.387014,-121.440967,0.7
95820,-1.469,-1.4622,38.542727,-121.442449,0.72168
95670,0.84397,1.4756,38.573488,-121.282809,0.73613
95819,-0.31253,-1.4622,38.563805,-121.436395,0.75782
95630,0.84397,0.0066998,38.652002,-121.129504,0.75782
95632,0.84397,0.0066998,38.279581,-121.300828,0.80118
95667,0.84397,1.4756,38.738141,-120.784145,0.83731
95678,-0.31253,0.0066998,38.782094,-121.297133,0.88068
95823,0.84397,0.0066998,38.487409,-121.461413,0.9222
95811,0.84397,0.0066998,38.591822,-121.478644,0.92367
95757,2.0005,1.4756,38.405224,-121.479275,0.98186
95677,0.84397,0.0066998,38.778691,-121.204292,1.0541
95757,2.0005,2.9445,38.405527,-121.431746,1.0903
95682,-0.31253,0.0066998,38.664225,-121.007173,1.1914
95765,0.84397,0.0066998,38.805749,-121.280931,1.2131
95757,0.84397,1.4756,38.390465,-121.443479,1.2422
95632,2.0005,2.9445,38.271646,-121.286848,1.3432
95742,0,0,38.527502,-121.233492,1.3794
95683,0.84397,0.0066998,38.512602,-121.087233,1.3794
95834,0,0,38.650221,-121.551704,1.4408
95648,0.84397,1.4756,38.857635,-121.311375,1.4642
95762,2.0005,1.4756,38.679136,-121.034329,1.4784
95811,-1.469,-1.4622,38.582604,-121.47576,1.5239
95630,0.84397,0.0066998,38.676306,-121.09954,1.56
95841,-0.31253,-1.4622,38.646374,-121.353658,1.6323
95762,-0.31253,0.0066998,38.668239,-121.064437,1.6323
95624,0.84397,1.4756,38.403609,-121.335541,1.6323
95835,0.84397,2.9445,38.665696,-121.549437,1.6684
95835,2.0005,1.4756,38.677225,-121.519687,1.7172
95765,2.0005,1.4756,38.801637,-121.278798,1.7769
95608,-1.469,0.0066998,38.602754,-121.329326,1.8058
95667,0.84397,1.4756,38.787877,-120.816676,1.813
